Designator,Quantity,Value,Footprint,LCSC Part #,,
"C1, ",1,10uF,0603,C19702,,
"C2, ",1,0.1uF,0603,C14663,,
"C3, C4, ",2,22uF,0805,C45783,,
"C5, C6, ",2,1uF,0603,C15849,,
"D1, ",1,RED,0603,C2286,,
"D2, ",1,GRN,0603,C72043,,
"D3, ",1,SS34F,SMA,C8678,,
"IC1, ",1,TP4056,SOP-8,C16581,,
"L1, ",1,22uH,SWPA3015,C83438,,
"Q1, ",1,FS8205,SOT-23-6,C32254,,
"R1, R2, R7, ",3,1k,0603,C21190,,
"R3, ",1,5.1k,0603,C23186,,
"R4, ",1,100R,0603,C22775,,
"R5, ",1,2k,0603,C22975,,
"R6, ",1,7.5k,0603,C23234,,
"R8, R9, ",2,10k,0603,C25084,,
"U2, ",1,FS312F-G,SOT-23-6,C82736,,
"U3, ",1,MT3608,SOT-23-6,C84817,,
,,,,,,
,,,,,,
